# YaV1 aerial-enforcement watchlist
#
# Format: icao_hex,registration,agency,model,source,confidence
# The app reads the first four columns; source/confidence document
# per-entry provenance. Lines starting with '#' are comments. Matching is
# case-insensitive on the ICAO hex (Mode S) address first, then on the
# registration / callsign.
#
# Sources (regenerate with tools/enrich_watchlist.py):
#  - source=faa: FAA Releasable Aircraft Registry
#    (registry.faa.gov/database/ReleasableAircraft.zip), snapshot of
#    2026-07-14. Registrant NAME matched against state-level
#    law-enforcement aviation patterns (HIGHWAY PATROL / STATE PATROL /
#    STATE POLICE / DEPT[ARTMENT] OF PUBLIC SAFETY / PUBLIC SAFETY DEPT /
#    AERIAL ENFORCEMENT) plus county SHERIFF registrants in states with
#    documented aircraft speed enforcement (OH TX AK VA NC FL CA WA);
#    sheriff ROTORCRAFT are excluded outright (metro patrol fleets would
#    swamp the list - e.g. 230 such helicopters matched in the 2026-07
#    snapshot and none are speed-timing platforms).
#    MODE S CODE HEX is the FAA-assigned ICAO 24-bit address. Gliders,
#    balloons and UAVs are excluded, as are FIRE/FORESTRY/EMERGENCY
#    MANAGEMENT/university registrants.
#  - source=pol: github.com/sdr-enthusiasts/plane-alert-db
#    plane-alert-pol.csv (community-curated), same snapshot date: US
#    state police / highway patrol / DPS operators and any aircraft
#    tagged "Speed Enforced by Aircraft" (the tag raises the entry's
#    confidence to high).
#  - source=faa+pol: present in both (FAA data wins for reg/model).
#
# Confidence:
#  - high:   state-level agency fixed-wing (the classic speed-timing
#            platform: Cessna 172/182/206, GA8, PC-12) or explicitly
#            speed-tagged in plane-alert-db
#  - medium: county sheriff fixed-wing in an enforcement state, or
#            state-agency aircraft known only from plane-alert-db
#  - low:    rotorcraft (mostly patrol / medevac; rarely time speed)
#
# Registrations change owners over time - refresh from the FAA registry
# periodically. Users can extend this list in
# <app storage>/aircraft/enforcement_user.csv
A129AB,N174ST,Michigan State Police,Cessna T206H,faa,high
A85452,N636DA,Michigan State Police,Aeryon Labs Inc SKY RANGER,faa,low
A0353F,N112SP,Minnesota Department Of Public Safety,Textron Aviation Inc 182T,faa,high
A03B59,N114CZ,Minnesota Department Of Public Safety,Cessna 182R,faa,high
A04064,N115SP,Minnesota State Patrol,Cirrus Design Corp SR22,faa,high
A04B89,N118SP,Minnesota State Patrol,Bell 407,faa,low
A0642C,N124SP,Minnesota State Patrol,Cirrus Design Corp SR22,faa,high
A997AC,N717SP,Minnesota State Patrol,Bell Textron Canada Ltd 429,faa,low
A3E5F1,N350MS,Mississippi Department Of Public Safety,American Eurocopter Corp AS350B3,faa,low
A3E9A8,N351MS,Mississippi Department Of Public Safety,Eurocopter Deutschland Gmbh EC 135 T2+,faa,low
AAB6CD,N79MP,Missouri State Highway Patrol,Cessna 182T,faa,high
AB5722,N83MP,Missouri State Highway Patrol,Hawker Beechcraft Corp B200GT,faa,high
ABCD9F,N86MP,Missouri State Highway Patrol,Kodiak Aircraft Co Inc KODIAK 200,faa,high
ACE471,N93MP,Missouri State Highway Patrol,Bell 407,faa,low
AD0BF0,N94MP,Missouri State Highway Patrol,Cessna 182S,faa,high
AD336F,N95MP,Missouri State Highway Patrol Aircraft Division,Bell Textron Canada Ltd 407,faa,low
A9F046,N74AW,Monroe County Sheriff's Office,Beech B200,faa,medium
A0CEA3,N151HP,Montana Highway Patrol,Bell OH-58A,faa,low
AC6E82,N90TF,Monterey County Sheriffs Office,Cessna U206G,faa,medium
A4C7D1,N407NC,Nc Highway Patrol,Bell Helicopter Textron Canada 407,faa,low
A12B3E,N1746L,Nebraska State Patrol,Cessna T206H,faa,high
A22904,N2383L,Nebraska State Patrol,Cessna T206H,faa,high
A44021,N373NE,Nebraska State Patrol,Bell Textron Canada Ltd 505,faa,low
A7622D,N575NE,Nebraska State Patrol,Bell 407,faa,low
A42434,N366SP,New Hampshire State Police,Bell 407,faa,low
A00137,N1NJ,New Jersey State Police,AgustaWestland AW.139,pol,low
A18E86,N2NJ,New Jersey State Police,Bell 206L-3,faa+pol,low
A31BD5,N3NJ,New Jersey State Police,AgustaWestland AW.139,pol,low
A63673,N5NJ,New Jersey State Police,AgustaWestland AW.139,pol,low
A7C3C2,N6NJ,New Jersey State Police,Bell 206-L4,faa+pol,low
A95111,N7NJ,New Jersey State Police,AgustaWestland AW.139,pol,low
AC6BAF,N9NJ,New Jersey State Police,AgustaWestland AW.139,pol,low
A64E14,N505SA,New Mexico State Police,Seabird Seeker SB7L-360A,pol,medium
A7E2DE,N607SP,New Mexico State Police Aircraft Section,Airbus Helicopters Deutschland MBB-BK 117 D-2,faa,low
A076BF,N129SP,New York State Police,Bell UH-1H,faa,low
A052F7,N12SP,New York State Police,Bell 430,faa+pol,low
A07A76,N13SP,New York State Police,Cessna 172H,faa,high
A129A7,N174SP,New York State Police,Bell UH-1H,faa,low
A11872,N17SP,New York State Police,Bell 407,faa,low
A16770,N19SP,New York State Police,Bell UH-1H,faa,low
A19346,N200NY,New York State Police,Beech C-12C,faa+pol,high
A19148,N20SP,New York State Police,Bell 430,faa,low
A52461,N430NY,New York State Police,Bell 430,faa+pol,low
A524BC,N430SP,New York State Police,Bell 430,pol,low
A52BCF,N432NY,New York State Police,Bell 430,pol,low
A7D9D1,N605,New York State Police,Partenavia S.p.a. P 68 OBSERVER,faa,high
A7EE03,N61SP,New York State Police,Bell UH-1H,faa+pol,low
A8920F,N651SP,New York State Police,Cessna U206G,faa,high
AA1597,N749SP,New York State Police,Cessna U206G,faa,high
AA4682,N761NY,New York State Police,Sikorsky Aircraft Corp S-76D,faa+pol,low
AC6C18,N9SP,New York State Police,Bell 430,pol,low
A1F17B,N224SP,New York State Police Aviation Unit,Bell UH-1H,faa,low
A06006,N123NC,North Carolina State Highway Patrol,Bell 206A,faa+pol,low
A4B187,N401NC,North Carolina State Highway Patrol,Bell Textron Canada Ltd 429,faa+pol,low
A4BCAC,N404NC,North Carolina State Highway Patrol,Bell 407,faa+pol,low
A4C063,N405NC,North Carolina State Highway Patrol,Bell Helicopter Textron Canada 407,faa+pol,low
A4C41A,N406NC,North Carolina State Highway Patrol,Bell Textron Canada Ltd 407,faa+pol,low
A31887,N299SP,North Dakota Highway Patrol,Cessna T206H,faa,high
A34B45,N311HP,Ohio Department Of Public Safety,Cessna 182S,faa,high
A88B1E,N65HP,Ohio Department Of Public Safety,Gippsaero Pty Ltd GA8 TC-320,faa,high
A98F5D,N715HP,Ohio Department Of Public Safety,Cessna 182S,faa,high
A996CB,N717HP,Ohio Department Of Public Safety,Textron Aviation Inc 208B,faa,high
A97A71,N71HP,Ohio Department Of Public Safety,Airbus Helicopters Inc AS350B3,faa,low
A9A1F0,N72HP,Ohio Department Of Public Safety,Airbus Helicopters Inc AS350B3,faa+pol,low
A9C96F,N73HP,Ohio State Highway Patrol,Eurocopter AS 350 B2,faa,low
A192C0,N200HP,Oklahoma Department Of Public Safety,Cessna U206G,faa,high
A43488,N370HP,Oklahoma Department Of Public Safety,American Eurocopter Corp AS350B3,faa,low
AC6D90,N90HP,Oklahoma Department Of Public Safety,Cessna 182T,faa,high
A7D925,N6045C,Orange County Sheriffs Department Rnsp,Cessna T206H,faa,medium
AD5DAA,N960RN,Orange County Sheriffs Department Rnsp,Gippsaero Pty Ltd GA8 TC-320,faa,medium
ABE578,N866DM,Orange County Sheriffs Office,Cessna T206H,faa,medium
A127E1,N17386,Oregon State Police,Cessna T206H,faa,high
A1EF84,N2237S,Oregon State Police,Cessna T182T,faa,high
A369B9,N319RB,Palm Beach County Sheriffs Department,Textron Aviation Inc B200GT,faa,medium
ABF7F8,N870ST,Pennsylvania State Police,Textron Aviation Inc B300,faa,high
ABFBAF,N871ST,Pennsylvania State Police,Bell Helicopter Textron Canada 407,faa,low
ABFF66,N872ST,Pennsylvania State Police,Bell Helicopter Textron Canada 407,faa+pol,low
AC031D,N873ST,Pennsylvania State Police,Bell Helicopter Textron Canada 407,faa+pol,low
AC06D4,N874ST,Pennsylvania State Police,Bell Helicopter Textron Canada 407,faa+pol,low
AC0A8B,N875ST,Pennsylvania State Police,Bell Helicopter Textron Canada 407,faa+pol,low
AC0E42,N876ST,Pennsylvania State Police,Bell Helicopter Textron Canada 407,faa+pol,low
AC11F9,N877ST,Pennsylvania State Police,Bell 407,pol,low
AC15B0,N878ST,Pennsylvania State Police,Textron Aviation Inc 208B,faa+pol,high
AC1967,N879ST,Pennsylvania State Police,Pilatus Aircraft Ltd PC-12/47E,faa+pol,high
AA32DB,N7561N,Pierce County Sheriffs Department,Cessna TU206G,faa,medium
AD1F3C,N9446P,Pierce County Sheriffs Department,Cessna T206H,faa,medium
A78AED,N58501,Pinellas County Sheriffs Office,Cessna 208B,faa,medium
A155BB,N1851A,Placer County Sheriffs Department,Piper PA-31-310,faa,medium
